id,priority,shrine,legacy_cell,principal_figure_cell,legacy_slug,principal_slug,consequence,sites_on_legacy_figure,retires_url,flags,draft_verdict,draft_rationale,verdict,chosen_name,reviewer_note
figure-column:shrine-of-pir-baba-syed-ali-tirmizi:85042456,3,Shrine of Pir Baba (Syed Ali Tirmizi),Syed Ali Tirmizi (Pir Baba),Syed Ali Tirmizi (Pir Baba),syed-ali-tirmizi,syed-ali-tirmizi,identical,syed-ali-tirmizi=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-pir-chhatal-shah-noorani:0733b436,3,Shrine of Pir Chhatal Shah Noorani,Pir Chhatal Shah Noorani (Pir Chatta),Pir Chhatal Shah Noorani,pir-chhatal-shah-noorani,pir-chhatal-shah-noorani,"same figure, different wording",pir-chhatal-shah-noorani=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-pir-lakha-aab-e-shifa-jhal-magsi:a6040d60,3,"Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi",Pir Lakha,Pir Lakha,pir-lakha,pir-lakha,identical,pir-lakha=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-pir-mangho:9937b27b,3,Shrine of Pir Mangho,Pir Mangho,Pir Mangho (Haji Syed Sakhi Sultan),pir-mangho,pir-mangho,"same figure, different wording",pir-mangho=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-sachal-sarmast:ee877bd3,3,Shrine of Sachal Sarmast,Sachal Sarmast (Abdul Wahab Faruqi),Sachal Sarmast (Abdul Wahab Faruqi),sachal-sarmast,sachal-sarmast,identical,sachal-sarmast=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-shah-abdul-karim-bulri:13a46e39,3,Shrine of Shah Abdul Karim Bulri,Shah Abdul Karim Bulri,Shah Abdul Karim Bulri,shah-abdul-karim-bulri,shah-abdul-karim-bulri,identical,shah-abdul-karim-bulri=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-shah-inayat-qadiri:267c0feb,3,Shrine of Shah Inayat Qadiri,Shah Inayat Qadiri (murshid of Bulleh Shah),Shah Inayat Qadiri,shah-inayat-qadiri,shah-inayat-qadiri,"same figure, different wording",shah-inayat-qadiri=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-shah-jamal:791db0fc,3,Shrine of Shah Jamal,Syed Shah Jamal Uddin Naqvi Bukhari (Baba Shah Jamal),Syed Shah Jamal Uddin Naqvi Bukhari,syed-shah-jamal-uddin-naqvi-bukhari,syed-shah-jamal-uddin-naqvi-bukhari,"same figure, different wording",syed-shah-jamal-uddin-naqvi-bukhari=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-shah-rukn-e-alam:a9a49772,3,Shrine of Shah Rukn-e-Alam,Shah Rukn-e-Alam,Shah Rukn-e-Alam (Rukn-ud-Din Abul Fath),shah-rukn-e-alam,shah-rukn-e-alam,"same figure, different wording",shah-rukn-e-alam=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-shah-shams-ud-din-sabzwari:2026f02b,3,Shrine of Shah Shams-ud-Din Sabzwari,Shah Shams-ud-Din Sabzwari,Shah Shams-ud-Din Sabzwari,shah-shams-ud-din-sabzwari,shah-shams-ud-din-sabzwari,identical,shah-shams-ud-din-sabzwari=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:swami-dharmdas-darbar-larkana-kennedy-market:a77f4ea9,3,"Swami Dharmdas Darbar, Larkana (Kennedy Market)",Swami Dharmdas (Nanakpanthi sant),Swami Dharmdas,swami-dharmdas,swami-dharmdas,"same figure, different wording",swami-dharmdas=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:tilla-jogian:777dd0a9,3,Tilla Jogian,Guru Gorakhnath (Nath yogis),Guru Gorakhnath (Nath yogis),guru-gorakhnath,guru-gorakhnath,identical,guru-gorakhnath=2,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:tomb-of-allama-iqbal-mazar-e-iqbal:05e77551,3,Tomb of Allama Iqbal (Mazar-e-Iqbal),Allama Muhammad Iqbal,Allama Muhammad Iqbal,allama-muhammad-iqbal,allama-muhammad-iqbal,identical,allama-muhammad-iqbal=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:tomb-of-bahaal-halim-uch-sharif:caabac4e,3,Tomb of Baha'al-Halim (Uch Sharif),Hazrat Baha'al-Halim (Sayyid Baha al-Din Halim),Hazrat Baha'al-Halim,hazrat-bahaal-halim,hazrat-bahaal-halim,"same figure, different wording",hazrat-bahaal-halim=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:tomb-of-javindi-bibi:db3882f1,3,Tomb of Javindi Bibi,Bibi Jawindi,Bibi Jawindi,bibi-jawindi,bibi-jawindi,identical,bibi-jawindi=1,,figure-overridden-in-kg-seeds,principal,"Already corrected out-of-band: saintFigureByShrine in kg-seeds.json replaces this row's cell, because the cell names a different monument's figure. The row appears settled because it was settled, not because the columns agreed. The durable fix is the CSV patch named in that seed entry; adopting principal_figure here matches what the graph already does.",,,
figure-column:tomb-of-qutbuddin-aibak:fbab96e8,3,Tomb of Qutbuddin Aibak,Sultan Qutb ud-Din Aibak,Sultan Qutb ud-Din Aibak,sultan-qutb-ud-din-aibak,sultan-qutb-ud-din-aibak,identical,sultan-qutb-ud-din-aibak=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:tomb-of-ustad-nuriya:c49733be,3,Tomb of Ustad Nuriya,Ustad Nuriya (master-builder),Ustad Nuriya,ustad-nuriya,ustad-nuriya,"same figure, different wording",ustad-nuriya=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:umarkot-amarkot-shiv-mandir:22fc1ee2,3,Umarkot (Amarkot) Shiv Mandir,Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:valmiki-swamiji-mandir-gracy-lines-rawalpindi:63e76e5e,3,"Valmiki Swamiji Mandir (Gracy Lines), Rawalpindi",Valmiki (Bhagwan Valmik),Valmiki (Bhagwan Valmik),valmiki,valmiki,identical,valmiki=3,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:wadpagga-sharif:c096a2c1,3,Wadpagga Sharif,Ghazi Syed Shah Fateh Muhammad Bukhari,Ghazi Syed Shah Fateh Muhammad Bukhari,ghazi-syed-shah-fateh-muhammad-bukhari,ghazi-syed-shah-fateh-muhammad-bukhari,identical,ghazi-syed-shah-fateh-muhammad-bukhari=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
